DATE,LATITUDE,LONGITUDE,SEA_LVL_PRES,SST_MM,SEA_SURF_TEMP,WAVE_PERIOD,WAVE_HGT
2013-01-01,37.54,130.0,10158.333333333334,9.0,123.33333333333333,5.666666666666667,3.0
2013-01-02,37.54,130.0,10276.0,9.0,129.0,7.833333333333333,5.666666666666667
2013-01-03,37.54,130.0,10302.42857142857,9.0,125.375,7.25,4.375
2013-01-04,37.54,130.0,10260.333333333334,9.0,123.0,7.571428571428571,2.4285714285714284
2013-01-05,37.54,130.0,10206.142857142857,9.0,120.625,6.875,2.75
2013-01-06,37.54,130.0,10219.25,9.0,119.875,8.0,2.75
2013-01-07,37.54,130.0,10211.75,9.0,115.125,5.625,2.375
2013-01-08,37.54,130.0,10209.57142857143,9.0,115.75,6.125,3.125
2013-01-09,37.54,130.0,10216.625,9.0,113.25,7.75,4.625
2013-01-10,37.54,130.0,10271.375,9.0,117.125,7.0,3.875
2013-01-11,37.54,130.0,10260.25,9.0,116.5,5.875,2.0
2013-01-12,37.54,130.0,10222.0,9.0,112.5,5.0,2.0
2013-01-13,37.54,130.0,10220.75,9.0,115.125,5.875,2.375
2013-01-14,37.54,130.0,10193.625,9.0,128.75,7.0,5.125
2013-01-15,37.54,130.0,10224.857142857143,9.0,123.75,8.875,4.625
2013-01-16,37.54,130.0,10184.75,9.0,123.25,7.25,5.25
2013-01-17,37.54,130.0,10265.25,9.0,124.875,8.125,4.875
2013-01-18,37.54,130.0,10250.2,9.0,121.83333333333333,7.166666666666667,3.3333333333333335
2013-01-19,37.54,130.0,10239.42857142857,9.0,114.375,5.625,2.375
2013-01-20,37.54,130.0,10320.0,9.0,109.625,7.625,2.5
2013-01-21,37.54,130.0,10201.42857142857,9.0,111.125,5.875,3.375
2013-01-22,37.54,130.0,10223.25,9.0,114.0,7.0,4.0
2013-01-23,37.54,130.0,10161.875,9.0,121.5,6.125,2.5
2013-01-24,37.54,130.0,10097.0,9.0,114.875,6.125,4.5
2013-01-25,37.54,130.0,10147.375,9.0,109.25,8.875,7.5
2013-01-26,37.54,130.0,10165.5,9.0,109.25,8.875,5.125
2013-01-27,37.54,130.0,10206.625,9.0,108.125,11.25,6.75
2013-01-28,37.54,130.0,10242.285714285714,9.0,108.0,9.714285714285714,4.285714285714286
2013-01-29,37.54,130.0,10263.5,9.0,108.75,7.5,2.25
2013-01-30,37.54,130.0,10308.142857142857,9.0,109.28571428571429,6.285714285714286,1.1428571428571428
2013-01-31,37.54,130.0,10289.5,9.0,109.0,5.375,2.75
2013-02-01,37.54,130.0,10156.5,9.0,107.25,7.25,5.125
2013-02-02,37.54,130.0,10237.625,9.0,111.5,7.5,3.375
2013-02-03,37.54,130.0,10214.42857142857,9.0,127.0,6.625,2.125
2013-02-04,37.54,130.0,10194.125,9.0,126.75,5.625,2.5
2013-02-05,37.54,130.0,10196.625,9.0,124.5,6.125,3.75
2013-02-06,37.54,130.0,10137.285714285714,9.0,120.28571428571429,5.857142857142857,3.2857142857142856
2013-02-07,37.54,130.0,10200.25,9.0,121.5,8.5,7.5
2013-02-08,37.54,130.0,10270.0,9.0,115.625,11.75,7.125
2013-02-09,37.54,130.0,10232.25,9.0,113.5,10.5,4.125
2013-02-10,37.54,130.0,10230.0,9.0,101.25,6.375,4.0
2013-02-11,37.54,130.0,10292.75,9.0,104.5,7.75,3.875
2013-02-12,37.54,130.0,10217.285714285714,9.0,106.375,5.5,4.25
2013-02-13,37.54,130.0,10250.714285714286,9.0,112.0,8.0,3.5
2013-02-14,37.54,130.0,10208.875,9.0,118.125,6.5,1.625
2013-02-15,37.54,130.0,10210.25,9.0,111.625,7.625,4.375
2013-02-16,37.54,130.0,10263.375,9.0,97.0,7.0,3.5
2013-02-17,37.54,130.0,10177.285714285714,9.0,105.5,4.875,2.25
